elapsed_seconds,timestamp,backlog,in_flight
0.6,2026-05-25T10:34:19.356936+00:00,0,0
5.8,2026-05-25T10:34:24.504347+00:00,0,0
10.9,2026-05-25T10:34:29.657111+00:00,0,0
16.1,2026-05-25T10:34:34.803020+00:00,0,0
21.2,2026-05-25T10:34:39.950531+00:00,0,0
26.4,2026-05-25T10:34:45.096456+00:00,0,0
31.5,2026-05-25T10:34:50.247826+00:00,0,0
36.6,2026-05-25T10:34:55.393966+00:00,0,0
41.8,2026-05-25T10:35:00.540251+00:00,1940,3
46.9,2026-05-25T10:35:05.686629+00:00,1769,9
52.1,2026-05-25T10:35:10.830807+00:00,1940,3
57.2,2026-05-25T10:35:15.975335+00:00,1769,9
62.4,2026-05-25T10:35:21.174309+00:00,1279,7
67.6,2026-05-25T10:35:26.326338+00:00,1441,11
72.7,2026-05-25T10:35:31.473641+00:00,1601,10
77.9,2026-05-25T10:35:36.615742+00:00,1113,6
83.0,2026-05-25T10:35:41.776173+00:00,647,7
88.2,2026-05-25T10:35:46.917300+00:00,1279,7
93.3,2026-05-25T10:35:52.063508+00:00,0,0
98.5,2026-05-25T10:35:57.210638+00:00,369,10
103.6,2026-05-25T10:36:02.354991+00:00,218,3
108.8,2026-05-25T10:36:07.498549+00:00,954,7
113.9,2026-05-25T10:36:12.645397+00:00,1136,7
119.0,2026-05-25T10:36:17.794246+00:00,647,7
124.2,2026-05-25T10:36:22.942587+00:00,799,6
129.3,2026-05-25T10:36:28.084044+00:00,0,0
134.5,2026-05-25T10:36:33.229890+00:00,0,0
139.6,2026-05-25T10:36:38.376932+00:00,0,0
144.8,2026-05-25T10:36:43.520569+00:00,0,0
