elapsed_seconds,timestamp,completed,backlog
0.3,2026-05-25T10:44:22.408741+00:00,0,6000
4.6,2026-05-25T10:44:26.710486+00:00,0,6000
8.9,2026-05-25T10:44:31.009320+00:00,0,6000
13.2,2026-05-25T10:44:35.310927+00:00,0,6000
17.5,2026-05-25T10:44:39.614793+00:00,0,6000
21.8,2026-05-25T10:44:43.914782+00:00,0,6000
26.1,2026-05-25T10:44:48.210067+00:00,0,6000
30.4,2026-05-25T10:44:52.509028+00:00,0,6000
34.7,2026-05-25T10:44:56.809222+00:00,0,6000
39.0,2026-05-25T10:45:01.102056+00:00,0,6000
43.3,2026-05-25T10:45:05.400877+00:00,0,6000
47.6,2026-05-25T10:45:09.702115+00:00,0,6000
51.9,2026-05-25T10:45:14.005155+00:00,0,6000
56.2,2026-05-25T10:45:18.304348+00:00,0,6000
60.5,2026-05-25T10:45:22.600666+00:00,0,6000
64.8,2026-05-25T10:45:26.910430+00:00,0,6000
69.1,2026-05-25T10:45:31.225557+00:00,0,6000
73.4,2026-05-25T10:45:35.525232+00:00,0,6000
77.7,2026-05-25T10:45:39.829508+00:00,0,6000
82.0,2026-05-25T10:45:44.129103+00:00,4,5996
86.3,2026-05-25T10:45:48.421380+00:00,51,5949
90.6,2026-05-25T10:45:52.716271+00:00,184,5816
94.9,2026-05-25T10:45:57.014424+00:00,326,5674
99.2,2026-05-25T10:46:01.310437+00:00,442,5558
103.5,2026-05-25T10:46:05.606754+00:00,566,5434
107.8,2026-05-25T10:46:09.907814+00:00,696,5304
112.1,2026-05-25T10:46:14.208783+00:00,827,5173
116.4,2026-05-25T10:46:18.511481+00:00,952,5048
120.7,2026-05-25T10:46:22.814630+00:00,1074,4926
125.0,2026-05-25T10:46:27.118547+00:00,1207,4793
129.3,2026-05-25T10:46:31.419776+00:00,1343,4657
133.6,2026-05-25T10:46:35.726084+00:00,1473,4527
137.9,2026-05-25T10:46:40.029901+00:00,1607,4393
142.2,2026-05-25T10:46:44.326855+00:00,1741,4259
146.5,2026-05-25T10:46:48.632999+00:00,1876,4124
150.8,2026-05-25T10:46:52.934908+00:00,2014,3986
155.1,2026-05-25T10:46:57.241666+00:00,2148,3852
159.6,2026-05-25T10:47:01.688148+00:00,2271,3729
164.0,2026-05-25T10:47:06.127627+00:00,2405,3595
168.5,2026-05-25T10:47:10.610548+00:00,2540,3460
172.9,2026-05-25T10:47:15.057576+00:00,2666,3334
177.4,2026-05-25T10:47:19.508858+00:00,2791,3209
181.8,2026-05-25T10:47:23.958312+00:00,2937,3063
186.3,2026-05-25T10:47:28.405784+00:00,3073,2927
190.7,2026-05-25T10:47:32.859492+00:00,3209,2791
195.2,2026-05-25T10:47:37.309513+00:00,3330,2670
199.6,2026-05-25T10:47:41.749302+00:00,3469,2531
204.1,2026-05-25T10:47:46.201324+00:00,3597,2403
208.5,2026-05-25T10:47:50.640021+00:00,3735,2265
213.0,2026-05-25T10:47:55.097561+00:00,3877,2123
217.4,2026-05-25T10:47:59.556036+00:00,4016,1984
221.9,2026-05-25T10:48:04.008070+00:00,4148,1852
226.3,2026-05-25T10:48:08.453073+00:00,4284,1716
230.8,2026-05-25T10:48:12.905455+00:00,4427,1573
235.2,2026-05-25T10:48:17.358070+00:00,4550,1450
239.7,2026-05-25T10:48:21.818122+00:00,4681,1319
244.2,2026-05-25T10:48:26.269283+00:00,4816,1184
248.6,2026-05-25T10:48:30.730508+00:00,4953,1047
253.1,2026-05-25T10:48:35.182499+00:00,5081,919
257.5,2026-05-25T10:48:39.637023+00:00,5217,783
262.0,2026-05-25T10:48:44.096056+00:00,5333,667
266.6,2026-05-25T10:48:48.691402+00:00,5467,533
271.2,2026-05-25T10:48:53.286554+00:00,5607,393
275.8,2026-05-25T10:48:57.889002+00:00,5753,247
280.4,2026-05-25T10:49:02.493056+00:00,5911,89
285.0,2026-05-25T10:49:07.091120+00:00,6000,0
